180 Deg. Turns,Cable Pull (mm),Measurement (deg),Is Outlier
0,,0,y
1,,-0.2,
2,,-0.3,
3,,-0.1,
4,,0.1,
5,,0.3,
6,,0.4,
7,,0.5,
8,,0.7,
9,,0.8,
10,,0.9,
11,,0.9,
12,,1,
13,,1.1,
14,,1.2,
15,,1.2,
16,,1.3,
17,,1.3,
18,,1.3,
19,,1.4,
20,,1.4,
21,,1.6,
22,,1.5,
23,,1.5,
24,,1.5,
25,,1.6,
26,,1.6,
27,,1.7,
28,,1.7,
29,,1.8,
30,,1.8,
31,,1.8,
32,,1.9,
33,,2,
34,,2,
35,,2.1,
